32,1학년,전공필수,5341005,기초독문법,01,3,인문대학,독일언어문화학과,독일언어문화학과,최도규,"월 08 ,09 [N16-1-259(58-259)]  목 03 [N16-1-259(58-259)]"
33,1학년,전공필수,5342004,기초프랑스어 문법,01,3,인문대학,프랑스언어문화학과,프랑스언어문화학과,이은미,"월 07 ,08 ,09 [N16-1-329(58-329)]"
34,1학년,전공선택,5342005,프랑스어 입문 Ⅱ,01,3,인문대학,프랑스언어문화학과,프랑스언어문화학과,이은미,"화 03 ,04 [N16-1-125(58-125)]  목 03 [N16-1-329(58-329)]"
35,1학년,전공선택,5342006,기초프랑스어 연습Ⅱ,01,3,인문대학,프랑스언어문화학과,프랑스언어문화학과,김대영,"수 06 ,07 ,08 [N16-1-228(58-228)]"
36,1학년,전공선택,5343002,초급러시아어Ⅱ,01,3,인문대학,러시아언어문화학과,러시아언어문화학과,김용화,"화 07 ,08 [N16-1-460(58-460)]  목 08 [N16-1-459(58-459)]"
37,1학년,전공선택,5343002,초급러시아어Ⅱ,02,3,인문대학,러시아언어문화학과,러시아언어문화학과,김태옥,"화 01 [N16-1-459(58-459)]  목 02 ,03 [N16-1-459(58-459)]"
38,1학년,전공선택,5343003,초급러시아어연습,01,3,인문대학,러시아언어문화학과,러시아언어문화학과,엄순천,"금 04 ,05 ,06 [N16-1-460(58-460)]"
39,1학년,전공필수,5663013,사회학사,01,3,사회과학대학,사회학과,사회학과,박정미,"월 05 [N15-345(57-345)]  수 05 ,06 [N15-345(57-345)]"
40,1학년,전공필수,5664287,심리학개론 II,01,3,사회과학대학,심리학과,심리학과,박상희,"월 07 ,08 ,09 [N15-342(57-342)]"
41,1학년,전공필수,5664287,심리학개론 II,02,3,사회과학대학,심리학과,심리학과,최해연,"수 06 ,07 ,08 [N15-348(57-348)]"
42,1학년,전공선택,5665084,행정학원론 II,01,3,사회과학대학,행정학과,행정학과,최예나,"월 01 ,02 ,03 [N15-442(57-442)]"
43,1학년,전공필수,5666079,세계외교사,01,3,사회과학대학,정치외교학과,정치외교학과,이장원,"화 06 ,07 ,08 [N15-445(57-445)]"
44,1학년,전공선택,5666098,국제관계의 이해,01,3,사회과학대학,정치외교학과,정치외교학과,김태환,"금 02 ,03 ,04 [N15-445(57-445)]"
45,1학년,전공필수,5667003,경제수학,01,3,사회과학대학,경제학과,경제학과,박기홍,"월 07 ,08 ,09 [N15-332(57-332)]"
46,1학년,전공필수,5667003,경제수학,02,3,사회과학대학,경제학과,경제학과,김형욱,"목 02 ,03 ,04 [N15-336(57-336)]"
47,1학년,전공선택,5667066,기초통계분석과 실습,01,3,사회과학대학,경제학과,경제학과,박기홍,"화 01 ,02 ,03 ,04 [N13-508(59-508)]"
48,1학년,전공선택,5910305,기초유기화학,01,3,자연과학대학,생물학과,화학과,최이삭,"수 05 [S1-6-519(36-519)]  목 06 ,07 [S1-6-519(36-519)]"
49,1학년,전공선택,5911235,생명과학과 컴퓨터,01,3,자연과학대학,미생물학과,미생물학과,이동훈,"수 07 ,08 ,09 [S1-4-317(43-317)]"
50,1학년,전공선택,5912251,기초생화학 II,01,3,자연과학대학,생화학과,생화학과,"나지훈, 심성보, 이영희, 장상민, 조효제","수 07 ,08 ,09 [S1-6-209(36-209)]"
51,1학년,전공선택,5960056,집합론,01,3,자연과학대학,수학과,수학과,이석종,"화 07 [S1-1-427(40-427)]  목 06 ,07 [S1-1-427(40-427)]"
52,1학년,전공필수,6208028,회계원리,01,3,경영대학,경영정보학과,경영학부,강수진,"화 01 ,02 ,03 [N14-307(56-307)]"
53,1학년,전공선택,6208063,경영과 정보기술,01,3,경영대학,경영정보학과,경영정보학과,권순동,"수 06 ,07 ,08 ,09 [N14-404(56-404)]"
54,1학년,전공필수,6209035,회계원리,01,3,경영대학,국제경영학과,국제경영학과,김주민,"화 01 ,02 ,03 [N14-401(56-401)]"
55,1학년,전공필수,6209035,회계원리,02,3,경영대학,국제경영학과,국제경영학과,김주민,"화 11 ,12 ,13 [N13-301-1(59-301-1)]"
56,1학년,전공선택,6209044,경제학원론,01,3,경영대학,국제경영학과,국제경영학과,조강필,"목 05 ,06 ,07 [N14-402(56-402)]"
57,1학년,전공선택,6209044,경제학원론,02,3,경영대학,국제경영학과,국제경영학과,김상기,"월 02 ,03 [N13-301-2(59-301-2)]  수 03 [N13-301-2(59-301-2)]"
58,1학년,전공선택,6209074,경영통계학,01,3,경영대학,국제경영학과,국제경영학과,김학건,"수 01 ,02 ,03 [N14-405(56-405)]"
59,1학년,전공선택,6209074,경영통계학,02,3,경영대학,국제경영학과,국제경영학과,최원근,"금 02 ,03 ,04 [N14-402(56-402)]"
60,1학년,전공선택,6209075,경영학원론,01,3,경영대학,국제경영학과,국제경영학과,조혜진,"목 08 ,09 ,10 [N14-402(56-402)]"
61,1학년,전공선택,6209100,글로벌비즈니스의 이해,01,3,경영대학,국제경영학과,국제경영학과,박상수,"수 05 ,06 ,07 [N14-405(56-405)]"
62,1학년,전공선택,6209100,글로벌비즈니스의 이해,02,3,경영대학,국제경영학과,국제경영학과,고정오,"월 01 ,02 ,03 [N14-402(56-402)]"
63,1학년,전공선택,6209100,글로벌비즈니스의 이해,03,3,경영대학,국제경영학과,국제경영학과,고정오,"월 05 ,06 ,07 [N14-402(56-402)]"
64,1학년,전공필수,6210001,회계원리,01,3,경영대학,경영학부,경영학부,배기수,"목 02 ,03 ,04 [N14-407(56-407)]"
65,1학년,전공필수,6210001,회계원리,02,3,경영대학,경영학부,경영학부,배기수,"목 06 ,07 ,08 [N14-407(56-407)]"
66,1학년,전공필수,6210001,회계원리,03,3,경영대학,경영학부,경영학부,우소희,"월 05 ,06 ,07 [N14-407(56-407)]"
67,1학년,전공필수,6210001,회계원리,04,3,경영대학,경영학부,경영학부,우소희,"수 05 ,06 ,07 [N14-407(56-407)]"
68,1학년,전공선택,6210007,경영학원론,01,3,경영대학,경영학부,경영학부,김학수,"월 06 ,07 ,08 [N14-305(56-305)]"
69,1학년,전공선택,6210007,경영학원론,02,3,경영대학,경영학부,경영학부,신승인,"화 05 ,06 ,07 [N14-305(56-305)]"
70,1학년,전공선택,6210008,경제학원론,01,3,경영대학,경영학부,경영학부,이병관,"금 01 ,02 ,03 [N14-301(56-301)]"
